אָב|av
אוֹטוֹבּוּס|otobus
תַּאֲווָה|ta'ava
לְאַוּוֹת|le'avot
לְהִתְאַוּוֹת|lehit'avot
אוּכְלוּסִיָּה|uchlusiya
אוּלַי|ulay
אוּלְפָּן|ulpan
אוּנִיבֶרְסִיטָה|universita
אוֹפַנּוֹעַ|ofanoa
לָאוּץ|la'utz
לְהָאִיץ|leha'itz
לְהָאִיר|leha'ir
אוֹר|or
תְּאוּרָה|te'ura
מְאוּרָה|me'ura
מָאוֹר|ma'or
לְאַווְרֵר|le'avrer
לְהִתְאַווְרֵר|lehit'avrer
אִיווְרוּר|ivrur
מְאַווְרֵר|me'avrer
לְאַווְשֵׁשׁ|le'avshesh
אִיווְשׁוּשׁ|ivshush
לְהֵיאוֹת|lehe'ot
לְאוֹתֵת|le'otet
אוֹת|ot
אוֹת|ot
אָז|az
לְאַזְכֵּר|le'azker
לֶאֱזוֹל|le'ezol
אִזְמֵל|izmel
לְהַאֲזִין|leha'azin
לְאַזֵּן|le'azen
לְהִתְאַזֵּן|lehit'azen
אוֹזֶן|ozen
הַאֲזָנָה|ha'azana
אִיזּוּן|izun
לֶאֱזוֹק|le'ezok
אֲזִיקִּים|azikim
לְהִתְאַזֵּר|lehit'azer
אֵזוֹר|ezor
לֶאֱזוֹר|le'ezor
אָח|ach
לְאַחֵד|le'ached
לְהִתְאַחֵד|lehit'ached
אַחְדוּת|achdut
אִיחוּד|ichud
הִתְאַחֲדוּת|hit'achadut
אָחִיד|achid
לְהַאֲחִיד|leha'achid
מְאוּחָד|me'uchad
הַאֲחָדָה|ha'achada
אָחוֹת|achot
לֶאֱחוֹז|le'echoz
לְהֵיאָחֵז|lehe'achez
אָחוּז|achuz
לְאַחוֹת|le'achot
לְהִתְאַחוֹת|lehit'achot
אַחְייָן|achyan
אַחְייָנִית|achyanit
לְאַחֵל|le'achel
לְאַחְסֵן|le'achsen
אִיחְסוּן|ichsun
לְאַחֵר|le'acher
אָחוֹר|achor
אַחַר|achar
אָחוֹרָה|achora
מֵאֲחוֹרֵי|me'achorei
אֲחוֹרַייִם|achorayim
אַחֵר|acher
אַחֲרוֹן|acharon
לְהִתְאַחֵר|lehit'acher
אִיטִּי|iti
אַט|at
לְהָאֵט|leha'et
לֶאֱטוֹם|le'etom
לְהֵיאָטֵם|lehe'atem
אִיטּוּם|itum
אִטְרִיָּה|itriya
אִי|i
אוֹיֵב|oyev
אֵיבָה|eiva
אֵיבָר|eivar
לְאַייֵּד|le'ayed
אַיָּה|aya
אֵיזֶה|eize
אֵיזוֹ|eizo
אַייָּל|ayal
אֵיךְ|eich
אֵיכוּת|eichut
אַיִל|ayil
אֱייָל|eyal
אִילּוּ|ilu
אֵילוּ|eilu
אִיּוּם|iyum
לְאַייֵּם|le'ayem
אֵימָה|eima
אָיוֹם|ayom
אֵין|ein
לְאַייֵּן|le'ayen
אֵיפֹה|eifo
אִיּוּר|iyur
לְאַייֵּר|le'ayer
לְאַייֵּשׁ|le'ayesh
אִישׁוֹן|ishon
לְאַייֵּת|le'ayet
אֵיתָן|eitan
אֵיתָנוּת|eitanut
אַךְ|ach
לְאַכְזֵב|le'achzev
לְהִתְאַכְזֵב|lehit'achzev
מְאוּכְזָב|me'uchzav
לְהִתְאַכְזֵר|lehit'achzer
לֶאֱכוֹל|le'echol
לְהֵיאָכֵל|lehe'achel
לְאַכֵּל|le'akel
לְהַאֲכִיל|leha'achil
אוֹכֶל|ochel
אַכְלָן|achlan
אֲכִילָה|achila
אָכוּל|achul
לְאַכְלֵס|le'achles
לְאַכְסֵן|le'achsen
לְהִתְאַכְסֵן|lehit'achsen
לֶאֱכוֹף|le'echof
לְהֵיאָכֵף|lehe'achef
אִכְפַּת|ichpat
אֶל|el
אַל|al
אֵלֶה|ele
אַלָּה|ala
אֵלוּ|elu
אֱלוֹהַּ|eloah
אֱלוֹהִים|elohim
לְאַלְחֵשׁ|le'alchesh
אֱלִיל|elil
אֲלַכְסוֹן|alachson
לְהֵיאָלֵם|lehe'alem
אַלִּים|alim
אִילֵּם|ilem
אַלְמוֹג|almog
אַלְמוֹנִי|almoni
לְהִתְאַלְמֵן|lehit'almen
לְאַלֵּף|le'alef
אֶלֶף|elef
אַלּוּף|aluf
לְהֵיאָלֵץ|lehe'aletz
לְאַלֵּץ|le'aletz
אִילּוּץ|ilutz
לְאַלְתֵּר|le'alter
אֵם|em
אִם|im
אִמָּא|ima
אַמְבַּטְיָה|ambatya
לֶאֱמוֹד|le'emod
לְהֵיאָמֵד|lehe'amed
אָמִיד|amid
אֶמוֹצְיוֹנָלִי|emotzyonali
לְאַמְלֵל|le'amlel
אוֹם|om
לְהֵיאָמֵן|lehe'amen
לְהַאֲמִין|leha'amin
לְהִתְאַמֵּן|lehit'amen
מְאַמֵּן|me'amen
אוּמָּן|uman
אוֹמְנָם|omnam
אִימּוּן|imun
לְאַמֵּן|le'amen
אָמִין|amin
אוֹמָּן|oman
אוֹמָּנוּת|omanut
אֱמוּנָה|emuna
אָמֵן|amen
אוּמָּנוּת|umanut
לְאַמֵּץ|le'ametz
לְהִתְאַמֵּץ|lehit'ametz
לֶאֱמוֹץ|le'emotz
אַמִּיץ|amitz
מַאֲמָץ|ma'amatz
אוֹמֶץ|ometz
אָמוּר|amur
לְהֵיאָמֵר|lehe'amer
לְהַאֲמִיר|leha'amir
אִמְרָה|imra
לוֹמַר|lomar
מַאֲמָר|ma'amar
לְהַאֲמִיר|leha'amir
לְאַמֵּת|le'amet
לְהִתְאַמֵּת|lehit'amet
אֲמִיתִּי|amiti
אֲמִיתָּה|amita
אֱמֵת|emet
אִימּוּת|imut
אֲמִיתּוּת|amitut
אָנוּ|anu
אֲנוֹכִי|anochi
לְהֵיאָנֵחַ|lehe'aneach
לְהִתְאַנֵּחַ|lehit'aneach
אֲנַחְנוּ|anachnu
אַנְטִישֶׁמִי|antishemi
אַנְטִישֶׁמִיּוּת|antishemiyut
אֲנִי|ani
לְאַנּוֹת|le'anot
תְּאוּנָה|te'una
אֳנִייָּה|oniya
אֲנָךְ|anach
אֲנָכִי|anachi
מְאוּנָּךְ|me'unach
לְהִתְאוֹנֵן|lehit'onen
לְאוֹנֵן|le'onen
לֶאֱנוֹס|le'enos
לְהֵיאָנֵס|lehe'anes
לְהֵיאָנֵק|lehe'anek
אִישִׁיּוּת|ishiyut
אִישִׁי|ishi
אִישִׁית|ishit
אִישׁ|ish
אִישָּׁה|isha
אֱנוֹשׁ|enosh
אָסוֹן|ason
אַסְטְרוֹנוֹמְיָה|astronomya
אַסְלָה|asla
לְהִתְאַסְלֵם|lehit'aslem
לְהֵיאָסֵף|lehe'asef
לְהִתְאַסֵּף|lehit'asef
אוֹסֶף|osef
אַסְפָן|asfan
לֶאֱסוֹף|le'esof
לְהֵיאָסֵר|lehe'aser
אִיסּוּר|isur
אָסוּר|asur
אָסִיר|asir
לֶאֱסוֹר|le'esor
לְהֵיאָפוֹת|lehe'afot
לֶאֱפוֹת|le'efot
אֲפִילּוּ|afilu
לְאַפְייֵן|le'afyen
לְהִתְאַפְייֵן|lehit'afyen
אַפִּיפְיוֹר|apifyor
לְהַאֲפִיל|leha'afil
אָפֵל|afel
אֲפֵלָה|afela
אוֹפְנָה|ofna
אוֹפֶן|ofen
אוֹפַןּ|ofan
אוֹפַנַּייִם|ofanayim
לְאַפְנֵן|le'afnen
לֶאֱפוֹס|le'efos
לְאַפֵּס|le'apes
אֶפֶס|efes
לְהִתְאַפֵּס|lehit'apes
אַפְסִי|afsi
לֶאֱפוֹף|le'efof
אַף|af
אוֹפֶק|ofek
לְהִתְאַפֵּק|lehit'apek
לְהַאֲפִיר|leha'afir
לְאַפֵּר|le'aper
לְהִתְאַפֵּר|lehit'aper
אָפוֹר|afor
מַאֲפֵרָה|ma'afera
אֲפַרְסֵק|afarsek
לְהִתְאַפְשֵׁר|lehit'afsher
אֶפְשָׁר|efshar
לְאַפְשֵׁר|le'afsher
אֶפְשָׁרוּת|efsharut
אֶפְשָׁרִי|efshari
אֵצֶל|etzel
לְהַאֲצִיל|leha'atzil
אוֹצָר|otzar
לֶאֱצוֹר|le'etzor
אַקְלִים|aklim
לְהִתְאַקְלֵם|lehit'aklem
אֲרוּבָּה|aruba
לֶאֱרוֹב|le'erov
לֶאֱרוֹג|le'erog
לְהֵיאָרֵג|lehe'areg
לְאַרְגֵּן|le'argen
לְהִתְאַרְגֵּן|lehit'argen
אִירְגּוּן|irgun
אָרוֹן|aron
לֶאֱרוֹז|le'eroz
אֶרֶז|erez
אֲרִיזָה|ariza
לְהֵיאָרֵז|lehe'arez
אוֹרֶז|orez
לְאָרֵחַ|le'areach
לְהִתְאָרֵחַ|lehit'areach
אוֹרֵחַ|oreach
אֲרוּחָה|arucha
אוֹרַח|orach
לֶאֱרוֹת|le'erot
אַרְיֵה|arye
לֶאֱרוֹךְ|le'eroch
לְהַאֲרִיךְ|leha'arich
לְהִתְאָרֵךְ|lehit'arech
אוֹרֶךְ|orech
אַרְכָּה|arka
אָרוֹךְ|aroch
אַרְמוֹן|armon
אוֹרֶן|oren
אַרְנָב|arnav
אַרְנָק|arnak
לְהִתְאָרֵס|lehit'ares
לְאָרֵעַ|le'area
אֵירוּעַ|erua
אֶרֶץ|eretz
אַרְצִי|artzi
לְהַאֲרִיק|leha'arik
הַאֲרָקָה|ha'araka
לְאָרֵר|le'arer
לָאוֹר|la'or
אָרוּר|arur
אֵשׁ|esh
אֶשֶׁךְ|eshech
לְהַאֲשִׁים|leha'ashim
לְהֵיאָשֵׁם|lehe'ashem
אַשְׁמָה|ashma
אָשֵׁם|ashem
לֶאְשׁוֹם|le'eshom
אֶשְׁנָב|eshnav
אַשָּׁף|ashaf
אַשְׁפָּה|ashpa
לְאַשְׁפֵּז|le'ashpez
לְהִתְאַשְׁפֵּז|lehit'ashpez
לְאַשֵּׁר|le'asher
אִישּׁוּר|ishur
אָשׁוּר|ashur
אֲשֶׁר|asher
מְאוּשָּׁר|me'ushar
אוֹשֶׁר|osher
לְהִתְאוֹשֵׁשׁ|lehit'oshesh
לְאוֹשֵׁשׁ|le'oshesh
לְאַשֵּׁשׁ|le'ashesh
הִתְאוֹשְׁשׁוּת|hit'osheshut
לְהִתְאוֹשֵׁשׁ|lehit'oshesh
אֶת|et
אַתְּ|at
לְאַתְגֵּר|le'atger
מְאוּתְגָּר|me'utgar
אַתָּה|ata
לְאַתְחֵל|le'atchel
אִיתְחוּל|itchul
אַתֶּם|atem
אֶתְמוֹל|etmol
אַתֶּן|aten
לְאַתֵּר|le'ater
אִיתּוּר|itur
אֲתָר|atar
אֶתְרוֹג|etrog
אַתָּת|atat
בְּ־|be
בְּאֶמְצָעוּת|be'emtza'ut
מְבוּאָס|mevu'as
לְבַאֵס|leva'es
לְהִתְבָּאֵס|lehitba'es
לְבָאֵר|leva'er
לְהִתְבָּאֵר|lehitba'er
בְּאֵר|be'er
בְּבַקָּשָׁה|bevakasha
בֶּגֶד|beged
לְהִיבָּגֵד|lehibaged
לִבְגּוֹד|livgod
בְּגִין|begin
בִּגְלַל|biglal
הִתְבַּגְּרוּת|hitbagrut
בַּגְרוּת|bagrut
מְבוּגָּר|mevugar
לְהִתְבַּגֵּר|lehitbager
לִבְגּוֹר|livgor
בִּגְרוּשׁ|bigrush
בַּד|bad
לִבְדּוֹא|livdo
לְבוֹדֵד|levoded
לְהִתְבּוֹדֵד|lehitboded
בַּד|bad
לְבַדֵּד|levaded
לְבַד|levad
בִּידּוּד|bidud
בֶּדוּאִי|bedu'i
לְבַדֵּחַ|levadeach
לְהִתְבַּדֵּחַ|lehitbadeach
בְּדִיחָה|bdicha
לִבְדּוֹת|livdot
לְהִיבָּדוֹת|lehibadot
בִּדְיוֹן|bidyon
בָּדוּי|baduy
בִּדְיוֹנִי|bidyoni
לְבַדּוֹת|levadot
לְהִיבָּדֵל|lehibadel
לְהַבְדִּיל|lehavdil
לְבַדֵּל|levadel
הֶבְדֵּל|hevdel
הַבְדָּלָה|havdala
לְהִתְבַּדֵּל|lehitbadel
לִבְדּוֹק|livdok
לְהִיבָּדֵק|lehibadek
מִבְדָּק|mivdak
בְּדִיקָה|bdika
מִבְדּוֹק|mivdok
לְבַדֵּר|levader
לְהִתְבַּדֵּר|lehitbader
בִּידּוּר|bidur
לִבְהוֹת|livhot
לְהִיבָּהֵל|lehibahel
לְהַבְהִיל|lehavhil
מְבוֹהָל|mevohal
תַּבְהֵלָה|tavhela
לְהַבְהִיל|lehavhil
בְּהֵמָה|behema
לִבְהוֹק|livhok
לְהַבְהִיק|lehavhik
לְהִתְבַּהֵר|lehitbaher
לְהַבְהִיר|lehavhir
בָּהִיר|bahir
לָבוֹא|lavo
לְהָבִיא|lehavi
מָבוֹא|mavo
בְּווַדַּאי|bevaday
לָבוּז|lavuz
לְהָבִיךְ|lehavich
מָבוֹךְ|mavoch
מְבוּכָה|mevucha
לְהִיבּוֹךְ|lehiboch
בּוּל|bul
לְהִתְבּוֹסֵס|lehitboses
לְהָבִיס|lehavis
בּוּעָה|bu'a
בּוֹר|bor
בּוֹר|bor
בּוּרְסָה|bursa
לְבוֹשֵׁשׁ|levoshesh
לֵבוֹשׁ|levosh
לְבַזְבֵּז|levazbez
לְהִתְבַּזְבֵּז|lehitbazbez
בִּיזְבּוּז|bizbuz
לִבְזוֹז|livzoz
בַּז|baz
לְבַזּוֹת|levazot
לְהִתְבַּזּוֹת|lehitbazot
בִּזְכוּת|bizchut
לִבְזוֹק|livzok
לְהַבְזִיק|lehavzik
לְבַזֵּר|levazer
בָּחוּץ|bachutz
לִבְחוֹל|livchol
לְהַבְחִיל|lehavchil
לִבְחוֹן|livchon
לְהַבְחִין|lehavchin
לְהִיבָּחֵן|lehibachen
בּוֹחַן|bochan
מַבְחֵנָה|mavchena
בְּחִינָה|bchina
מִבְחָן|mivchan
אַבְחָנָה|avchana
הַבְחָנָה|havchana
לִבְחוֹר|livchor
לְהִיבָּחֵר|lehibacher
בְּחִירָה|bchira
בָּחוּר|bachur
בַּחוּרָה|bachura
לִבְחוֹשׁ|livchosh
לְהִתְבַּטֵּא|lehitbate
מִבְטָא|mivta
לְבַטֵּא|levate
בִּיטָּאוֹן|bita'on
לִבְטוֹחַ|livtoach
לְבַטֵּחַ|levateach
לְהַבְטִיחַ|lehavtiach
בֶּטַח|betach
אַבְטָחָה|avtacha
בִּיטָּחוֹן|bitachon
בִּיטּוּחַ|bituach
בָּטוּחַ|batuach
מוּבְטָח|muvtach
הַבְטָחָה|havtacha
בִּיטּוּי|bituy
לְבַטֵּל|levatel
לְהִתְבַּטֵּל|lehitbatel
מוּבְטָל|muvtal
אַבְטָלָה|avtala
בִּיטּוּל|bitul
בַּטְלָן|batlan
לִבְטוֹל|livtol
לְהִתְבַּטֵּל|lehitbatel
בֵּטֶן|beten
בִּיטּוּן|bitun
בּוֹטֶן|boten
בִּטְנָה|bitna
בִּיּוּב|biyuv
בְּיַחַד|beyachad
לְבַייֵּל|levayel
לְבַייֵּם|levayem
לְהָבִין|lehavin
הִתְבּוֹנְנוּת|hitbonenut
תּוֹבָנָה|tovana
לְבוֹנֵן|levonen
בֵּין|ben
בִּיּוּן|biyun
לְבַייֵּן|levayen
מוּבָן|muvan
לְהִתְבּוֹנֵן|lehitbonen
הֲבָנָה|havana
נָבוֹן|navon
בִּינָה|bina
בֵּינוֹנִי|benoni
בֵּינוֹנִי|benoni
בֵּינְתַייִם|bentayim
בֵּיצָה|beitza
בִּירָה|bira
לְהִתְבַּייֵּשׁ|lehitbayesh
בַּייְשָׁן|bayshan
לְבַייֵּשׁ|levayesh
בַּיִת|bayit
לְבַייֵּת|levayet
בֵּית כְּנֶסֶת|beitkneset
בֵּית סֵפֶר|beitsefer
לִבְכּוֹת|livkot
לְבַכּוֹת|levakot
בַּכְייָן|bachyan
לְהִתְבַּכְייֵן|lehitbachyen
בְּכוֹר|bchor
לְהַבְכִּיר|lehavkir
בָּכִיר|bachir
בִּלְבַד|bilvad
לְבַלְבֵּל|levalbel
לְהִתְבַּלְבֵּל|lehitbalbel
בִּילְבּוּל|bilbul
לְהַבְלִיג|lehavlig
בָּלָגָן|balagan
לְבַלְגֵּן|levalgen
לְהַבְלִיחַ|lehavliach
לִבְלוֹט|livlot
לְהַבְלִיט|lehavlit
לְהִתְבַּלֵּט|lehitbalet
בַּלּוּט|balut
בְּלִיטָה|blita
בָּלָטָה|balata
לְהִתְבַּלּוֹת|lehitbalot
לִבְלוֹת|livlot
בְּלִי|bli
לְבַלּוֹת|levalot
בִּילּוּי|biluy
לְהִתְבּוֹלֵל|lehitbolel
לִבְלוֹל|livlol
לְהִיבָּלֵם|lehibalem
בְּלִימָה|blima
בַּלָּם|balam
בֶּלֶם|belem
לִבְלוֹם|livlom
לִבְלוֹעַ|livloa
לְהִיבָּלֵעַ|lehibalea
לְבַּלֵף|lebalef
בַּלֶּשֶׁת|baleshet
בַּלָּשׁ|balash
בִּילּוּשׁ|bilush
לִבְלוֹשׁ|livlosh
בִּמְהִירוּת|bimhirut
בַּמַּאי|bamay
בִּמְיוּחָד|bimyuchad
בְּמַעֲמַד|bema'amad
בִּמְקוֹם|bimkom
בֵּן|ben
לִבְנוֹת|livnot
לְהִיבָּנוֹת|lehibanot
בַּנַּאי|banay
בִּינּוּי|binuy
מוּבְנֶה|muvne
תַּבְנִית|tavnit
לְהַבְנוֹת|lehavnot
בִּנְייָן|binyan
בְּנִייָּה|bniya
בָּנוּי|banuy
בָּנָנָה|banana
בַּנְק|bank
לְבַסֵּס|levases
לְהִתְבַּסֵּס|lehitbases
בְּסִיסָה|bsisa
מְבוּסָּס|mevusas
בָּסִיס|basis
לְבַעְבֵּעַ|leva'abea
לִבְעוֹט|liv'ot
לְהִיבָּעֵט|lehiba'et
לְהִיבָּעוֹת|lehiba'ot
בְּעָיָה|be'aya
בַּעַל|ba'al
לִבְעוֹל|liv'ol
בְּעִקְבוֹת|be'ikvot
לִבְעוֹר|liv'or
לְהַבְעִיר|lehav'ir
מַבְעֵר|mav'er
לְבַעֵר|leva'er
תַּבְעֵרָה|tav'era
בַּעַת|ba'at
לְהִיבָּעֵת|lehiba'et
בִּפְנֵי|bifnei
בִּפְנִים|bifnim
לְבַצְבֵּץ|levatzbetz
לְבַצֵּעַ|levatzea
לְהִתְבַּצֵּעַ|lehitbatzea
בִּיצּוּעַ|bitzua
מִבְצָע|mivtza
לִבְצוֹעַ|livtzoa
בִּיצָּה|bitza
בּוֹץ|botz
בָּצֵק|batzek
בָּצֵק|batzek
לְבַצֵּר|levatzer
לְהִתְבַּצֵּר|lehitbatzer
לְהִיבָּצֵר|lehibatzer
לִבְצוֹר|livtzor
בָּקִיא|baki
בַּקְבּוּק|bakbuk
בִּקְבִיעוּת|bikvi'ut
בְּקַלּוּת|bekalut
לִבְקוֹעַ|livkoa
לְבַקֵּעַ|levakea
לְהִיבָּקֵעַ|lehibakea
לְהִתְבַּקֵּעַ|lehitbakea
לְהַבְקִיעַ|lehavkia
לְבַקֵּר|levaker
בּוֹקֶר|boker
בַּקָּרָה|bakara
בִּיקּוּר|bikur
בִּיקּוֹרֶת|bikoret
בְּקֶרֶב|bekerev
לְבַקֵּשׁ|levakesh
לְהִתְבַּקֵּשׁ|lehitbakesh
בִּיקּוּשׁ|bikush
בַּקָּשָׁה|bakasha
לִבְרוֹא|livro
לְהִיבָּרֵא|lehibare
לְהַבְרִיא|lehavri
הַבְרָאָה|havra'a
בָּרִיא|bari
לְבָרֵא|levare
בְּרִיאוּת|bri'ut
תַּבְרוּאָה|tavru'a
לְבַרְבֵּר|levarber
לְהִתְבַּרְבֵּר|lehitbarber
לְהַבְרִיג|lehavrig
בּוֹרֶג|boreg
מַבְרֵג|mavreg
לְהִתְבָּרֵג|lehitbareg
בָּרָד|barad
בַּרְווָז|barvaz
לְהַבְרִיז|lehavriz
בֶּרֶז|berez
בַּרְזֶל|barzel
לִבְרוֹחַ|livroach
לְהַבְרִיחַ|lehavriach
בְּרִית|brit
בְּרֵיכָה|brecha
לְהִתְבַּרְייֵן|lehitbaryen
לְבָרֵךְ|levarech
לְהִתְבָּרֵךְ|lehitbarech
בְּרָכָה|bracha
בָּרוּךְ|baruch
בֶּרֶךְ|berech
לְהַבְרִיק|lehavrik
הַבְרָקָה|havraka
בָּרָק|barak
מִבְרָק|mivrak
לִבְרוֹק|livrok
בָּרֶקֶת|bareket
בָּרוּר|barur
לְבָרֵר|levarer
לְהִתְבָּרֵר|lehitbarer
בְּרֵירָה|brera
לָבוֹר|lavor
בַּרְרָן|bareran
מוּבְרָר|muvrar
לְהַבְרִישׁ|lehavrish
בִּשְׁבִיל|bishvil
לִבְשׁוֹל|livshol
לְבַשֵּׁל|levashel
לְהַבְשִׁיל|lehavshil
לְהִתְבַּשֵּׁל|lehitbashel
בִּישּׁוּל|bishul
בָּשֵׁל|bashel
לְבַשֵּׂם|levasem
לְהִתְבַּשֵּׂם|lehitbasem
בּוֹשֶׂם|bosem
בְּשֵׁם|beshem
לְבַשֵּׂר|levaser
בָּשָׂר|basar
בְּשָׂרִי|bsari
לְהִתְבַּשֵּׂר|lehitbaser
בַּת|bat
בְּתוֹךְ|betoch
לְבַתֵּק|levatek
לְבַתֵּר|levater
גַּאֲווָה|ga'ava
לִגְאוֹת|lig'ot
לְהִתְגָּאוֹת|lehitga'ot
גֵּאֶה|ge'e
גָּאוֹן|ga'on
לִגְאוֹל|lig'ol
לְהִיגָּאֵל|lehiga'el
גְּאוּלָּה|ge'ula
לְגַבֵּב|legabev
גַּב|gav
גַּבָּה|gaba
לִגְבּוֹהַּ|ligboah
לְהַגְבִּיהַּ|lehagbiah
גּוֹבַהּ|govah
גָּבוֹהַּ|gavoah
לִגְבּוֹת|ligbot
לְגַבּוֹת|legabot
לְהִיגָּבוֹת|lehigavot
גִּיבּוּי|gibuy
לְהַגְבִּיל|lehagbil
הַגְבָּלָה|hagbala
גְּבוּל|gvul
לִגְבּוֹל|ligbol
גְּבִינָה|gvina
גַּבָּן|gaban
גֶּבֶס|geves
לְגַבֵּס|legabes
גִּבְעָה|giv'a
גֶּבַע|geva
לִגְבּוֹר|ligbor
לְהַגְבִּיר|lehagbir
גִּיבּוֹר|gibor
הִתְגַּבְּרוּת|hitgabrut
גֶּבֶר|gever
גְּבַרְתָּן|gvartan
גְּבוּרָה|gvura
לְהִתְגַּבֵּר|lehitgaber
לְגַבֵּשׁ|legabesh
לְהִתְגַּבֵּשׁ|lehitgabesh
גִּיבּוּשׁ|gibush
לְגַגֵּל|legagel
לְהִתְגּוֹדֵד|lehitgoded
לִגְדּוֹד|ligdod
גְּדִי|gdi
לְהַגְדִּיל|lehagdil
לִגְדּוֹל|ligdol
לְגַדֵּל|legadel
גְּדִילָה|gdila
מִגְדָּל|migdal
הַגְדָּלָה|hagdala
גּוֹדֶל|godel
מַגְדֶּלֶת|magdelet
גָּדוֹל|gadol
אֲגוּדָל|agudal
גִּידּוּל|gidul
לִגְדּוֹם|ligdom
לְהִיגָּדֵם|lehigadem
לִגְדּוֹעַ|ligdoa
לְגַדֵּף|legadef
גִּידּוּף|giduf
לְגַדֵּר|legader
לְהַגְדִּיר|lehagdir
מִגְדָּר|migdar
הַגְדָּרָה|hagdara
גָּדֵר|gader
לִגְדּוֹר|ligdor
לְהִתְגַּדֵּר|lehitgader
לְהַגְדִּישׁ|lehagdish
לִגְדּוֹשׁ|ligdosh
לְגַהֵץ|legahetz
מַגְהֵץ|maghetz
לְגַהֵק|legahek
לִגְהוֹר|lighor
גֵּו|gev
לְהָגִיב|lehagiv
תְּגוּבָה|tguva
מוּגָז|mugaz
לְהִיגּוֹז|lehigoz
לְגַווֵּן|legaven
גָּווֶן|gaven
לִגְווֹעַ|ligvoa
גּוּף|guf
לְהָגִיף|lehagif
גּוּפָה|gufa
לָגוּר|lagur
לְהִתְגּוֹרֵר|lehitgorer
לִגְזוֹז|ligzoz
לְהִיגָּזֵז|lehigazez
לִגְזוֹל|ligzol
לְהִיגָּזֵל|lehigazel
לִגְזוֹם|ligzom
לְהִיגָּזֵם|lehigazem
לְהַגְזִים|lehagzim
הַגְזָמָה|hagzama
גִּזְעִי|giz'i
גֶּזַע|geza
גִּזְעָן|giz'an
גִּזְעָנוּת|giz'anut
לְהִיגָּזֵר|lehigazer
נִגְזָר|nigzar
גָּזִיר|gazir
גִּזְרָה|gizra
גֶּזֶר|gezer
גִּיזָּרוֹן|gizaron
לִגְזוֹר|ligzor
לִגְחוֹךְ|ligchoch
לְגַחֵךְ|legachech
לְהַגְחִיךְ|lehagchich
מְגוּחָךְ|meguchach
לִגְחוֹן|ligchon
גֵּיאוֹמֶטְרְיָה|ge'ometrya
לְהָגִיחַ|lehagiach
גִּיחָה|gicha
לָגִיחַ|lagiach
לָגִיל|lagil
גִּיל|gil
לְגַייֵּס|legayes
לְהִתְגַּייֵּס|lehitgayes
גִּיּוּס|giyus
לְגַייֵּר|legayer
לְהִתְגַּייֵּר|lehitgayer
גִּיּוּר|giyur
לְגַלְגֵּל|legalgel
